// ID;CLIENTEID;PRODUCTO;CATEGORIA;PRECIO;CORREO
43;43;STENSELE;Bar furniture;550.0;leaguel255@gmail.com
44;44;GLENN;Bar furniture;445.0;leaguel255@gmail.com
45;45;NORRÅKER / NORRÅKER;Bar furniture;1266.0;leaguel255@gmail.com
46;46;RÅSKOG;Bar furniture;175.0;leaguel255@gmail.com
47;47;MINNEN;Beds;395.0;leaguel255@gmail.com
48;48;BRIMNES;Beds;895.0;leaguel255@gmail.com
49;49;SMÅGÖRA;Beds;595.0;leaguel255@gmail.com
50;50;PLATSA;Beds;2111.0;leaguel255@gmail.com
51;51;VATTVIKEN;Beds;995.0;leaguel255@gmail.com
52;52;SLÄKT;Beds;540.0;leaguel255@gmail.com
53;53;BRIMNES;Beds;795.0;leaguel255@gmail.com
54;54;NEIDEN;Beds;99.0;leaguel255@gmail.com
55;55;LEIRVIK;Beds;1195.0;leaguel255@gmail.com
56;56;NEIDEN;Beds;199.0;leaguel255@gmail.com
57;57;HEMNES;Beds;675.0;leaguel255@gmail.com
58;58;SLATTUM;Beds;595.0;leaguel255@gmail.com
59;59;NEIDEN;Beds;199.0;leaguel255@gmail.com
60;60;SAGSTUA;Beds;545.0;leaguel255@gmail.com
61;61;BRIMNES;Beds;575.0;leaguel255@gmail.com
62;62;ASKVOLL;Beds;445.0;leaguel255@gmail.com
63;63;TRYSIL;Beds;525.0;leaguel255@gmail.com
64;64;MALM;Beds;495.0;leaguel255@gmail.com
65;65;RAMSTA;Beds;445.0;leaguel255@gmail.com
66;66;SONGESAND;Beds;395.0;leaguel255@gmail.com
67;67;MALM;Beds;920.0;leaguel255@gmail.com
68;68;SNIGLAR;Beds;195.0;leaguel255@gmail.com
69;69;LAUVIK;Beds;1729.0;leaguel255@gmail.com
70;70;BRIMNES;Beds;575.0;leaguel255@gmail.com
71;71;HEMNES;Beds;1495.0;leaguel255@gmail.com
72;72;NESTTUN;Beds;595.0;leaguel255@gmail.com
73;73;TYSSEDAL;Beds;1395.0;leaguel255@gmail.com
74;74;MALM;Beds;670.0;leaguel255@gmail.com
75;75;MALM;Beds;445.0;leaguel255@gmail.com
76;76;SLÄKT;Beds;995.0;leaguel255@gmail.com
77;77;RIDABU;Beds;100.0;leaguel255@gmail.com
78;78;KRITTER;Beds;360.0;leaguel255@gmail.com
79;79;HEMNES;Beds;1375.0;leaguel255@gmail.com
80;80;PLATSA;Beds;2600.5;leaguel255@gmail.com
81;81;SAGSTUA;Beds;745.0;leaguel255@gmail.com
82;82;SANDVIKA;Beds;295.0;leaguel255@gmail.com
83;83;NEIDEN;Beds;399.0;leaguel255@gmail.com
84;84;MINNEN;Beds;395.0;leaguel255@gmail.com
85;85;SLÄKT;Beds;375.0;leaguel255@gmail.com
86;86;HAMMARN;Beds;399.0;leaguel255@gmail.com
87;87;BJÖRKSNÄS;Beds;2040.0;leaguel255@gmail.com
88;88;SLÄKT;Beds;425.0;leaguel255@gmail.com
89;89;NORDLI;Beds;2290.0;leaguel255@gmail.com
90;90;FYRESDAL;Beds;549.0;leaguel255@gmail.com
91;91;SONGESAND;Beds;570.0;leaguel255@gmail.com
92;92;MALM;Beds;945.0;leaguel255@gmail.com
93;93;MYDAL;Beds;895.0;leaguel255@gmail.com
94;94;TUFFING;Beds;475.0;leaguel255@gmail.com
95;95;SÄBÖVIK;Beds;1745.0;leaguel255@gmail.com
96;96;LYCKSELE;Beds;100.0;leaguel255@gmail.com
97;97;TARVA;Beds;871.0;leaguel255@gmail.com
98;98;HEMNES;Beds;695.0;leaguel255@gmail.com
99;99;HEMNES;Beds;995.0;leaguel255@gmail.com
100;100;BUSUNGE;Beds;795.0;leaguel255@gmail.com
101;101;MARKERAD;Beds;480.0;leaguel255@gmail.com
102;102;GJÖRA;Beds;1640.0;leaguel255@gmail.com
103;103;UTÅKER;Beds;695.0;leaguel255@gmail.com
104;104;BRYNE;Beds;49.0;leaguel255@gmail.com
105;105;KURA;Beds;745.0;leaguel255@gmail.com
106;106;FRIHETEN;Beds;1846.0;leaguel255@gmail.com
107;107;VITVAL;Beds;295.0;leaguel255@gmail.com
108;108;LURÖY;Beds;100.0;leaguel255@gmail.com
109;109;SNIGLAR;Beds;295.0;leaguel255@gmail.com
110;110;HEMNES;Beds;1145.0;leaguel255@gmail.com
111;111;HEMNES;Beds;1495.0;leaguel255@gmail.com
112;112;MALM;Beds;545.0;leaguel255@gmail.com
113;113;SLÄKT;Beds;620.0;leaguel255@gmail.com
114;114;DELAKTIG;Beds;2195.0;leaguel255@gmail.com
115;115;STUVA;Beds;1725.0;leaguel255@gmail.com
116;116;LAUVIK;Beds;2425.0;leaguel255@gmail.com
117;117;VIMLE;Beds;1400.0;leaguel255@gmail.com
118;118;KONGSFJORD;Beds;8551.0;leaguel255@gmail.com
119;119;NYHAMN;Beds;1470.0;leaguel255@gmail.com
120;120;NYHAMN;Beds;450.0;leaguel255@gmail.com
121;121;SLÄKT;Beds;1395.0;leaguel255@gmail.com
122;122;ASKEBY;Beds;995.0;leaguel255@gmail.com
123;123;BRIMNES;Beds;220.0;leaguel255@gmail.com
124;124;SUNDVIK;Beds;849.0;leaguel255@gmail.com
125;125;MALM;Beds;1595.0;leaguel255@gmail.com
126;126;HEMNES;Beds;2185.0;leaguel255@gmail.com
127;127;SOLGUL;Beds;395.0;leaguel255@gmail.com
128;128;MYDAL;Beds;795.0;leaguel255@gmail.com
129;129;NORDLI;Beds;1595.0;leaguel255@gmail.com
130;130;VIKARE;Beds;95.0;leaguel255@gmail.com
131;131;DELAKTIG;Beds;595.0;leaguel255@gmail.com
132;132;TUFFING;Beds;645.0;leaguel255@gmail.com
133;133;VALLENTUNA;Beds;1848.0;leaguel255@gmail.com
134;134;VITVAL;Beds;200.0;leaguel255@gmail.com
135;135;PLATSA;Beds;2307.0;leaguel255@gmail.com
136;136;PLATSA;Beds;1195.0;leaguel255@gmail.com
137;137;PLATSA;Beds;3339.0;leaguel255@gmail.com
138;138;VITVAL;Beds;1590.0;leaguel255@gmail.com
139;139;BUSUNGE;Beds;795.0;leaguel255@gmail.com
140;140;NYHAMN;Beds;600.0;leaguel255@gmail.com
141;141;BRIMNES;Beds;1095.0;leaguel255@gmail.com
142;142;SONGESAND;Beds;1245.0;leaguel255@gmail.com
143;143;LAUVIK;Beds;2146.0;leaguel255@gmail.com
144;144;SLÄKT;Beds;1260.0;leaguel255@gmail.com
145;145;SVÄRTA;Beds;895.0;leaguel255@gmail.com
146;146;VALLENTUNA;Beds;7796.0;leaguel255@gmail.com
147;147;LYCKSELE MURBO;Beds;1445.0;leaguel255@gmail.com
148;148;DELAKTIG;Beds;2595.0;leaguel255@gmail.com
149;149;PLATSA;Beds;1767.0;leaguel255@gmail.com
150;150;MARKERAD;Beds;267.0;leaguel255@gmail.com
151;151;LYCKSELE LÖVÅS;Beds;495.0;leaguel255@gmail.com
152;152;UTÅKER;Beds;1285.0;leaguel255@gmail.com
153;153;SUNDVIK;Beds;849.0;leaguel255@gmail.com
154;154;PLATSA;Beds;2905.0;leaguel255@gmail.com
155;155;BRYNILEN;Beds;30.0;leaguel255@gmail.com
156;156;FYRESDAL;Beds;1139.0;leaguel255@gmail.com
157;157;VALLENTUNA;Beds;1160.0;leaguel255@gmail.com
158;158;DELAKTIG;Beds;1400.0;leaguel255@gmail.com
159;159;BRIMNES;Beds;220.0;leaguel255@gmail.com
160;160;SLÄKT;Beds;520.0;leaguel255@gmail.com
161;161;SUFFLETT;Beds;85.0;leaguel255@gmail.com
162;162;KURA;Beds;175.0;leaguel255@gmail.com
163;163;LÖVA;Beds;55.0;leaguel255@gmail.com
164;164;HEMNES;Beds;2085.0;leaguel255@gmail.com
165;165;FLEKKE;Beds;1495.0;leaguel255@gmail.com
166;166;MARKERAD;Beds;1092.0;leaguel255@gmail.com
167;167;PLATSA;Beds;2163.5;leaguel255@gmail.com
168;168;KURA;Beds;149.0;leaguel255@gmail.com
169;169;STUVA / FÖLJA;Beds;1915.0;leaguel255@gmail.com
170;170;DELAKTIG;Beds;2495.0;leaguel255@gmail.com
171;171;GRÄLVIKEN;Beds;1995.0;leaguel255@gmail.com
172;172;HOLMSUND;Beds;2295.0;leaguel255@gmail.com
173;173;LAUVIK;Beds;2902.0;leaguel255@gmail.com
174;174;STUVA / FRITIDS;Beds;1990.0;leaguel255@gmail.com
175;175;SVÄRTA;Beds;875.0;leaguel255@gmail.com
176;176;PLATSA;Beds;1611.0;leaguel255@gmail.com
177;177;GRÖNLID;Beds;3595.0;leaguel255@gmail.com
178;178;VITVAL;Beds;1295.0;leaguel255@gmail.com
179;179;GRÖNLID;Beds;7610.0;leaguel255@gmail.com
180;180;BRIMNES;Beds;1795.0;leaguel255@gmail.com
181;181;SLÄKT;Beds;295.0;leaguel255@gmail.com
182;182;NORDLI;Beds;695.0;leaguel255@gmail.com
183;183;DELAKTIG;Beds;2095.0;leaguel255@gmail.com
184;184;GONATT;Beds;1095.0;leaguel255@gmail.com
185;185;BRENNÅSEN;Beds;30.0;leaguel255@gmail.com
186;186;BRÅTHULT;Beds;1991.0;leaguel255@gmail.com
187;187;PLATSA;Beds;2210.0;leaguel255@gmail.com
188;188;SVÄRTA;Beds;1175.0;leaguel255@gmail.com
189;189;NYHAMN;Beds;1445.0;leaguel255@gmail.com
190;190;LIDHULT;Beds;9585.0;leaguel255@gmail.com
191;191;BURFJORD;Beds;40.0;leaguel255@gmail.com
192;192;VALLENTUNA;Beds;4488.0;leaguel255@gmail.com
193;193;VITVAL;Beds;1195.0;leaguel255@gmail.com
194;194;VALLENTUNA;Beds;5780.0;leaguel255@gmail.com
195;195;LIDHULT;Beds;3340.0;leaguel255@gmail.com
196;196;DELAKTIG;Beds;495.0;leaguel255@gmail.com
197;197;GULLIVER;Beds;595.0;leaguel255@gmail.com
198;198;DELAKTIG;Beds;200.0;leaguel255@gmail.com
199;199;FLOTTEBO;Beds;2236.0;leaguel255@gmail.com
200;200;DELAKTIG;Beds;1800.0;leaguel255@gmail.com
201;201;VIMLE;Beds;4645.0;leaguel255@gmail.com
202;202;NYHAMN;Beds;1295.0;leaguel255@gmail.com
203;203;SULTAN;Beds;50.0;leaguel255@gmail.com
204;204;BÅTSFJORD;Beds;30.0;leaguel255@gmail.com
205;205;KONGSFJORD;Beds;8356.0;leaguel255@gmail.com
206;206;FLEKKE;Beds;2185.0;leaguel255@gmail.com
207;207;SUNDVIK;Beds;695.0;leaguel255@gmail.com
208;208;SANDBACKEN;Beds;1841.0;leaguel255@gmail.com
209;209;HOLMSUND;Beds;2995.0;leaguel255@gmail.com
210;210;VALLENTUNA;Beds;4320.0;leaguel255@gmail.com
211;211;FLOTTEBO;Beds;1596.0;leaguel255@gmail.com
212;212;NYHAMN;Beds;1520.0;leaguel255@gmail.com
213;213;SVÄRTA;Beds;300.0;leaguel255@gmail.com
214;214;LIDHULT;Beds;7785.0;leaguel255@gmail.com
215;215;GRÖNLID;Beds;4270.0;leaguel255@gmail.com
216;216;STUVA / FRITIDS;Beds;2025.0;leaguel255@gmail.com
217;217;LYCKSELE HÅVET;Beds;795.0;leaguel255@gmail.com
218;218;SUNDVIK;Beds;695.0;leaguel255@gmail.com
219;219;FRIHETEN;Beds;1845.0;leaguel255@gmail.com
220;220;VIMLE;Beds;2945.0;leaguel255@gmail.com
221;221;GRÖNLID;Beds;4790.0;leaguel255@gmail.com
222;222;BJORLI;Beds;40.0;leaguel255@gmail.com
223;223;SLÄKT;Beds;75.0;leaguel255@gmail.com
224;224;KURA;Beds;125.0;leaguel255@gmail.com
225;225;KURA;Beds;125.0;leaguel255@gmail.com
226;226;VALLENTUNA;Beds;4036.0;leaguel255@gmail.com
227;227;LIDHULT;Beds;4841.0;leaguel255@gmail.com
228;228;BRATTVÅG;Beds;50.0;leaguel255@gmail.com
229;229;VALLENTUNA;Beds;2932.0;leaguel255@gmail.com
230;230;GRÖNLID;Beds;4390.0;leaguel255@gmail.com
231;231;LYCKSELE MURBO;Beds;695.0;leaguel255@gmail.com
232;232;STUVA / FRITIDS;Beds;995.0;leaguel255@gmail.com
233;233;VITVAL;Beds;995.0;leaguel255@gmail.com
234;234;VIMLE;Beds;3355.0;leaguel255@gmail.com
235;235;FLOTTEBO;Beds;1676.0;leaguel255@gmail.com
236;236;LYCKSELE LÖVÅS;Beds;1345.0;leaguel255@gmail.com
237;237;GRÖNLID;Beds;6110.0;leaguel255@gmail.com
238;238;VIMLE;Beds;7765.0;leaguel255@gmail.com
239;239;LIDHULT;Beds;4040.0;leaguel255@gmail.com
240;240;VIMLE;Beds;4120.0;leaguel255@gmail.com
241;241;VIMLE;Beds;4265.0;leaguel255@gmail.com
242;242;STUVA / FRITIDS;Beds;995.0;leaguel255@gmail.com
243;243;STUVA / FÖLJA;Beds;1980.0;leaguel255@gmail.com
244;244;GONATT;Beds;1095.0;leaguel255@gmail.com
245;245;SUFFLETT;Beds;85.0;leaguel255@gmail.com
246;246;STUVA / FRITIDS;Beds;995.0;leaguel255@gmail.com
247;247;FLOTTEBO;Beds;1996.0;leaguel255@gmail.com
248;248;LIDHULT;Beds;5840.0;leaguel255@gmail.com
249;249;LYCKSELE HÅVET;Beds;1645.0;leaguel255@gmail.com
250;250;GRÖNLID;Beds;3145.0;leaguel255@gmail.com
251;251;LIDHULT;Beds;7873.0;leaguel255@gmail.com
252;252;STUVA / FÖLJA;Beds;985.0;leaguel255@gmail.com
253;253;LIDHULT;Beds;5553.0;leaguel255@gmail.com
254;254;STUVA / FRITIDS;Beds;995.0;leaguel255@gmail.com
255;255;JONAXEL;Bookcases & shelving units;135.0;leaguel255@gmail.com
256;256;OLAUS;Bookcases & shelving units;290.0;leaguel255@gmail.com
257;257;JONAXEL;Bookcases & shelving units;915.0;leaguel255@gmail.com
258;258;KOLBJÖRN;Bookcases & shelving units;345.0;leaguel255@gmail.com
259;259;JONAXEL;Bookcases & shelving units;375.0;leaguel255@gmail.com
260;260;IVAR;Bookcases & shelving units;1385.0;leaguel255@gmail.com
261;261;GERSBY;Bookcases & shelving units;95.0;leaguel255@gmail.com
262;262;KALLAX;Bookcases & shelving units;115.0;leaguel255@gmail.com
263;263;LACK;Bookcases & shelving units;199.0;leaguel255@gmail.com
264;264;HYLLIS;Bookcases & shelving units;59.0;leaguel255@gmail.com
265;265;KALLAX;Bookcases & shelving units;250.0;leaguel255@gmail.com
266;266;JONAXEL;Bookcases & shelving units;175.0;leaguel255@gmail.com
267;267;HYLLIS;Bookcases & shelving units;39.0;leaguel255@gmail.com
268;268;LACK;Bookcases & shelving units;39.0;leaguel255@gmail.com
269;269;LAIVA;Bookcases & shelving units;85.0;leaguel255@gmail.com
270;270;SVALNÄS;Bookcases & shelving units;270.0;leaguel255@gmail.com
271;271;KALLAX;Bookcases & shelving units;30.0;leaguel255@gmail.com
272;272;VITTSJÖ;Bookcases & shelving units;245.0;leaguel255@gmail.com
273;273;BILLY;Bookcases & shelving units;185.0;leaguel255@gmail.com
274;274;BILLY;Bookcases & shelving units;145.0;leaguel255@gmail.com
275;275;JONAXEL;Bookcases & shelving units;75.0;leaguel255@gmail.com
276;276;HYLLIS;Bookcases & shelving units;137.0;leaguel255@gmail.com
277;277;KALLAX;Bookcases & shelving units;450.0;leaguel255@gmail.com
278;278;IVAR;Bookcases & shelving units;35.0;leaguel255@gmail.com
279;279;KALLAX;Bookcases & shelving units;195.0;leaguel255@gmail.com
280;280;VITTSJÖ;Bookcases & shelving units;225.0;leaguel255@gmail.com
281;281;HEJNE;Bookcases & shelving units;165.0;leaguel255@gmail.com
282;282;LOMMARP;Bookcases & shelving units;476.0;leaguel255@gmail.com
283;283;IVAR;Bookcases & shelving units;295.0;leaguel255@gmail.com
284;284;FJÄLLBO;Bookcases & shelving units;495.0;leaguel255@gmail.com
285;285;OBSERVATÖR;Bookcases & shelving units;15.0;leaguel255@gmail.com
286;286;KALLAX;Bookcases & shelving units;500.0;leaguel255@gmail.com
287;287;BILLY;Bookcases & shelving units;95.0;leaguel255@gmail.com
288;288;EKET;Bookcases & shelving units;656.0;leaguel255@gmail.com
289;289;BILLY;Bookcases & shelving units;1510.0;leaguel255@gmail.com
290;290;LACK;Bookcases & shelving units;99.0;leaguel255@gmail.com
291;291;EKET;Bookcases & shelving units;220.0;leaguel255@gmail.com
292;292;GNEDBY;Bookcases & shelving units;125.0;leaguel255@gmail.com
293;293;LIATORP;Bookcases & shelving units;450.0;leaguel255@gmail.com
294;294;BESTÅ;Bookcases & shelving units;25.0;leaguel255@gmail.com
295;295;LACK;Bookcases & shelving units;19.0;leaguel255@gmail.com
296;296;IVAR;Bookcases & shelving units;570.0;leaguel255@gmail.com
297;297;EKET;Bookcases & shelving units;620.0;leaguel255@gmail.com
298;298;BILLY / OXBERG;Bookcases & shelving units;915.0;leaguel255@gmail.com
299;299;HEJNE;Bookcases & shelving units;45.0;leaguel255@gmail.com
300;300;FINNBY;Bookcases & shelving units;149.0;leaguel255@gmail.com
301;301;VITTSJÖ;Bookcases & shelving units;395.0;leaguel255@gmail.com
302;302;BILLY / OXBERG;Bookcases & shelving units;385.0;leaguel255@gmail.com
303;303;IVAR;Bookcases & shelving units;345.0;leaguel255@gmail.com
304;304;VILTO;Bookcases & shelving units;275.0;leaguel255@gmail.com
305;305;BILLY;Bookcases & shelving units;115.0;leaguel255@gmail.com
306;306;KALLAX;Bookcases & shelving units;725.0;leaguel255@gmail.com
307;307;SVALNÄS;Bookcases & shelving units;90.0;leaguel255@gmail.com
308;308;BILLY / OXBERG;Bookcases & shelving units;575.0;leaguel255@gmail.com
309;309;EKET;Bookcases & shelving units;400.0;leaguel255@gmail.com
310;310;JONAXEL;Bookcases & shelving units;135.0;leaguel255@gmail.com
311;311;VITTSJÖ;Bookcases & shelving units;554.0;leaguel255@gmail.com
312;312;BESTÅ;Bookcases & shelving units;920.0;leaguel255@gmail.com
313;313;FJÄLLBO;Bookcases & shelving units;295.0;leaguel255@gmail.com
314;314;OLAUS;Bookcases & shelving units;19.0;leaguel255@gmail.com
315;315;HEMNES;Bookcases & shelving units;796.0;leaguel255@gmail.com
316;316;BILLY / OXBERG;Bookcases & shelving units;340.0;leaguel255@gmail.com
317;317;KALLAX;Bookcases & shelving units;345.0;leaguel255@gmail.com
318;318;HYLLIS;Bookcases & shelving units;84.0;leaguel255@gmail.com
319;319;BILLY / OXBERG;Bookcases & shelving units;315.0;leaguel255@gmail.com
320;320;KALLAX;Bookcases & shelving units;115.0;leaguel255@gmail.com
321;321;BRUSALI;Bookcases & shelving units;237.0;leaguel255@gmail.com
322;322;KALLAX;Bookcases & shelving units;450.0;leaguel255@gmail.com
323;323;BESTÅ / EKET;Bookcases & shelving units;1719.0;leaguel255@gmail.com
324;324;STUK;Bookcases & shelving units;35.0;leaguel255@gmail.com
325;325;JONAXEL;Bookcases & shelving units;15.0;leaguel255@gmail.com
326;326;BESTÅ;Bookcases & shelving units;25.0;leaguel255@gmail.com
327;327;KALLAX;Bookcases & shelving units;395.0;leaguel255@gmail.com
328;328;BRIMNES;Bookcases & shelving units;445.0;leaguel255@gmail.com
329;329;BILLY;Bookcases & shelving units;50.0;leaguel255@gmail.com
330;330;OLAUS;Bookcases & shelving units;145.0;leaguel255@gmail.com
331;331;BOTTNA;Bookcases & shelving units;15.0;leaguel255@gmail.com
332;332;BILLY;Bookcases & shelving units;345.0;leaguel255@gmail.com
333;333;IVAR;Bookcases & shelving units;420.0;leaguel255@gmail.com
334;334;EKET;Bookcases & shelving units;250.0;leaguel255@gmail.com
335;335;ALGOT;Bookcases & shelving units;15.6;leaguel255@gmail.com
336;336;KOLBJÖRN;Bookcases & shelving units;345.0;leaguel255@gmail.com
337;337;MOSTORP;Bookcases & shelving units;417.0;leaguel255@gmail.com
338;338;BILLY;Bookcases & shelving units;516.0;leaguel255@gmail.com
339;339;OBSERVATÖR;Bookcases & shelving units;15.0;leaguel255@gmail.com
340;340;BILLY;Bookcases & shelving units;585.0;leaguel255@gmail.com
341;341;FJÄLLBO;Bookcases & shelving units;495.0;leaguel255@gmail.com
342;342;KOLBJÖRN;Bookcases & shelving units;695.0;leaguel255@gmail.com
343;343;IVAR;Bookcases & shelving units;440.0;leaguel255@gmail.com
344;344;VITTSJÖ;Bookcases & shelving units;695.0;leaguel255@gmail.com
345;345;ALGOT;Bookcases & shelving units;509.0;leaguel255@gmail.com
346;346;EDVALLA;Bookcases & shelving units;25.0;leaguel255@gmail.com
347;347;BILLY;Bookcases & shelving units;370.0;leaguel255@gmail.com
348;348;JONAXEL;Bookcases & shelving units;180.0;leaguel255@gmail.com
349;349;KALLAX;Bookcases & shelving units;595.0;leaguel255@gmail.com
350;350;ALGOT;Bookcases & shelving units;196.0;leaguel255@gmail.com
351;351;EKET;Bookcases & shelving units;640.0;leaguel255@gmail.com
352;352;KALLAX;Bookcases & shelving units;495.0;leaguel255@gmail.com
353;353;EKET;Bookcases & shelving units;435.0;leaguel255@gmail.com
354;354;EKET;Bookcases & shelving units;978.0;leaguel255@gmail.com
355;355;ALGOT;Bookcases & shelving units;18.0;leaguel255@gmail.com
356;356;OLAUS;Bookcases & shelving units;772.0;leaguel255@gmail.com
357;357;KALLAX;Bookcases & shelving units;215.0;leaguel255@gmail.com
358;358;BILLY / BOTTNA;Bookcases & shelving units;140.0;leaguel255@gmail.com
359;359;LIATORP;Bookcases & shelving units;4335.0;leaguel255@gmail.com
360;360;HYLLIS;Bookcases & shelving units;51.0;leaguel255@gmail.com
361;361;VITTSJÖ;Bookcases & shelving units;620.0;leaguel255@gmail.com
362;362;EKET;Bookcases & shelving units;265.0;leaguel255@gmail.com
363;363;KOLBJÖRN;Bookcases & shelving units;225.0;leaguel255@gmail.com
364;364;EKET;Bookcases & shelving units;80.0;leaguel255@gmail.com
365;365;IVAR;Bookcases & shelving units;275.0;leaguel255@gmail.com
366;366;EKET;Bookcases & shelving units;235.0;leaguel255@gmail.com
367;367;EKET;Bookcases & shelving units;347.0;leaguel255@gmail.com
368;368;VITTSJÖ;Bookcases & shelving units;490.0;leaguel255@gmail.com
369;369;BESTÅ;Bookcases & shelving units;1235.0;leaguel255@gmail.com
370;370;KALLAX;Bookcases & shelving units;350.0;leaguel255@gmail.com
371;371;STUK;Bookcases & shelving units;35.0;leaguel255@gmail.com
372;372;HEJNE;Bookcases & shelving units;705.0;leaguel255@gmail.com
373;373;JONAXEL;Bookcases & shelving units;55.0;leaguel255@gmail.com
374;374;ALGOT;Bookcases & shelving units;6.0;leaguel255@gmail.com
375;375;MORLIDEN;Bookcases & shelving units;200.0;leaguel255@gmail.com
376;376;BESTÅ;Bookcases & shelving units;925.0;leaguel255@gmail.com
377;377;LIATORP;Bookcases & shelving units;995.0;leaguel255@gmail.com
378;378;BESTÅ;Bookcases & shelving units;1620.0;leaguel255@gmail.com
379;379;BROR;Bookcases & shelving units;15.0;leaguel255@gmail.com
380;380;BILLY;Bookcases & shelving units;285.0;leaguel255@gmail.com
381;381;BESTÅ;Bookcases & shelving units;1820.0;leaguel255@gmail.com
382;382;HYLLIS;Bookcases & shelving units;12.0;leaguel255@gmail.com
383;383;SVALNÄS;Bookcases & shelving units;80.0;leaguel255@gmail.com
384;384;BILLY / OXBERG;Bookcases & shelving units;470.0;leaguel255@gmail.com
385;385;BILLY / OXBERG;Bookcases & shelving units;290.0;leaguel255@gmail.com
386;386;IVAR;Bookcases & shelving units;310.0;leaguel255@gmail.com
387;387;ENETRI;Bookcases & shelving units;412.0;leaguel255@gmail.com
388;388;BESTÅ;Bookcases & shelving units;2470.0;leaguel255@gmail.com
389;389;GUBBARP;Bookcases & shelving units;3.0;leaguel255@gmail.com
390;390;ALGOT;Bookcases & shelving units;6.0;leaguel255@gmail.com
391;391;JONAXEL;Bookcases & shelving units;20.0;leaguel255@gmail.com
392;392;JONAXEL;Bookcases & shelving units;160.0;leaguel255@gmail.com
393;393;BESTÅ;Bookcases & shelving units;1725.0;leaguel255@gmail.com
394;394;BILLY / OXBERG;Bookcases & shelving units;1150.0;leaguel255@gmail.com
395;395;EKET;Bookcases & shelving units;45.0;leaguel255@gmail.com
396;396;IVAR;Bookcases & shelving units;625.0;leaguel255@gmail.com
397;397;BILLY / OXBERG;Bookcases & shelving units;505.0;leaguel255@gmail.com
398;398;HEMNES;Bookcases & shelving units;3986.0;leaguel255@gmail.com
399;399;BILLY;Bookcases & shelving units;795.0;leaguel255@gmail.com
400;400;IVAR;Bookcases & shelving units;335.0;leaguel255@gmail.com
401;401;IVAR;Bookcases & shelving units;1275.0;leaguel255@gmail.com
